i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.2,0.8,166.66666666666666
2,1,1,15.0,5.0,0.5,0.2,0.8,166.66666666666666
3,1,1,25.0,5.0,0.5,0.2,0.8,166.66666666666666
4,1,1,35.0,5.0,0.5,0.2,0.8,166.66666666666666
5,1,1,45.0,5.0,0.5,0.2,0.8,166.66666666666666
6,1,1,55.0,5.0,0.5,0.2,0.8,166.66666666666666
7,1,1,65.0,5.0,0.5,0.2,0.8,166.66666666666666
8,1,1,75.0,5.0,0.5,0.2,0.8,166.66666666666666
9,1,1,85.0,5.0,0.5,0.2,0.8,166.66666666666666
10,1,1,95.0,5.0,0.5,0.2,0.8,166.66666666666666
11,1,1,105.0,5.0,0.5,0.2,0.8,166.66666666666666
12,1,1,115.0,5.0,0.5,0.2,0.8,166.66666666666666
13,1,1,125.0,5.0,0.5,0.2,0.8,166.66666666666666
14,1,1,135.0,5.0,0.5,0.2,0.8,166.66666666666666
15,1,1,145.0,5.0,0.5,0.2,0.8,166.66666666666666
16,1,1,155.0,5.0,0.5,0.2,0.8,166.66666666666666
17,1,1,165.0,5.0,0.5,0.2,0.8,166.66666666666666
18,1,1,175.0,5.0,0.5,0.2,0.8,166.66666666666666
19,1,1,185.0,5.0,0.5,0.2,0.8,166.66666666666666
20,1,1,195.0,5.0,0.5,0.2,0.8,166.66666666666666
21,1,1,205.0,5.0,0.5,0.2,0.8,166.66666666666666
22,1,1,215.0,5.0,0.5,0.2,0.8,166.66666666666666
23,1,1,225.0,5.0,0.5,0.2,0.8,166.66666666666666
24,1,1,235.0,5.0,0.5,0.2,0.8,166.66666666666666
25,1,1,245.0,5.0,0.5,0.2,0.8,166.66666666666666
26,1,1,255.0,5.0,0.5,0.2,0.8,166.66666666666666
27,1,1,265.0,5.0,0.5,0.2,0.8,166.66666666666666
28,1,1,275.0,5.0,0.5,0.2,0.8,166.66666666666666
29,1,1,285.0,5.0,0.5,0.2,0.8,166.66666666666666
30,1,1,295.0,5.0,0.5,0.2,0.8,166.66666666666666
31,1,1,305.0,5.0,0.5,0.2,0.8,166.66666666666666
32,1,1,315.0,5.0,0.5,0.2,0.8,166.66666666666666
